iter	Passed	Remaining
0	2	220
1	4	212
2	6	196
3	8	200
4	10	200
5	13	204
6	15	210
7	19	228
8	22	223
9	23	212
10	25	205
11	26	197
12	28	192
13	30	186
14	31	180
15	33	174
16	34	170
17	36	165
18	38	162
19	39	159
20	41	157
21	43	153
22	44	150
23	46	147
24	48	144
25	49	141
26	51	138
27	52	136
28	55	135
29	57	133
30	58	131
31	60	128
32	61	125
33	63	123
34	64	120
35	66	118
36	68	115
37	69	112
38	70	110
39	71	107
40	74	106
41	74	103
42	76	101
43	77	99
44	79	97
45	81	95
46	82	93
47	84	91
48	85	89
49	87	87
50	88	85
51	90	83
52	92	81
53	93	79
54	94	77
55	96	75
56	97	73
57	99	72
58	101	70
59	103	68
60	105	67
61	106	65
62	107	63
63	109	61
64	111	59
65	112	57
66	113	56
67	115	54
68	117	52
69	118	50
70	120	49
71	121	47
72	123	45
73	124	43
74	126	42
75	128	40
76	129	38
77	131	37
78	133	35
79	134	33
80	136	31
81	137	30
82	139	28
83	141	26
84	143	25
85	144	23
86	146	21
87	148	20
88	150	18
89	151	16
90	153	15
91	154	13
92	156	11
93	157	10
94	159	8
95	160	6
96	162	5
97	163	3
98	166	1
99	170	0
